epoch,lr,d_loss,g_loss,s_loss,d_loss_real,d_loss_fake,d_loss_cls,d_loss_gp,g_loss_fake,g_loss_cls,g_loss_rec,g_loss_seg_
1.0,0.0002,-3551923.536573384,1369189373.4130535,83806.86622236297,-8444749.901141807,2602947.940379232,320199.7256200862,196967.86985331133,-2570380.0801518112,245650.99891020992,137079252.47114658,72157.75083136559
2.0,0.0002,-453277.5455895476,495097805.99707484,76594.00072042644,-815703.0751328841,-718516.1296296716,565832.3886292088,51510.92713957274,726452.3476640433,363221.05932566116,49338918.911872864,61894.354965507984
3.0,0.0002,-335612.49939782475,418028906.33700633,76347.7008687025,-75959.24576507509,-1207457.969021991,574745.6439054669,37305.90716413219,1223450.722563237,335731.6973985081,41585452.65244293,61519.7391616106
4.0,0.0002,121980.31266614294,404929585.6264169,76315.9400941804,-1238422.2064508125,27204.396697968245,864822.3442307174,46837.576994271105,-12588.496165733784,394415.6700646753,40393329.41990185,61446.43304032087
5.0,0.0002,-231362.70296138027,397367703.28163886,76288.42682064511,-2615590.4826980717,1386275.076914668,628412.2067822746,36954.04908376795,-1378526.6002560407,345436.9539166438,39778662.5064373,61416.77835357189
6.0,0.0002,280500.39403663436,389450205.34999466,76252.21217527147,-1781830.6676800624,579918.4580381587,577216.3724164198,90519.62297265689,-578005.0111494586,361218.6022558825,38905374.42773533,61324.75340628624
7.0,0.0002,-273730.3707835473,391541101.59919655,76237.8228886025,-2022255.6754213087,818836.477128081,498487.4515348317,43120.13746815707,-808609.2476602793,307065.76292382233,39142916.8251791,61347.689296126366
8.0,0.0002,1090769.315599474,382109118.95426273,76243.58599734027,-1781998.7121389732,625693.0110624656,491699.05970063887,175537.59359613105,-617203.3284025937,273867.4927700586,38183974.58878708,61270.88661694527
9.0,0.0002,-267307.0334171133,381807314.4417887,76189.77138407575,-1887443.261621222,692629.652074106,599042.5275267024,32846.40505778291,-681321.9520062581,300802.6553905342,38157526.061697006,61257.3137075305
10.0,0.0002,1125588.807013544,376004421.62582433,76175.06296232715,-5464043.562098309,4365526.896753609,1139870.777405259,108423.46845954147,-4348242.790545464,581320.5965920563,37915893.017121315,61241.364308059216
11.0,0.0002,14265747.884910187,379221638.53704107,76153.84932296164,-1696309.7904655635,652042.2854388356,1569746.1796969872,1374026.9309009342,-650602.3649547696,670536.071511755,37858941.31229305,61229.175870239735
12.0,0.0002,2039073.0230907986,374045883.052763,76144.89199513383,-3020466.808251977,1954723.6536892056,983995.699115018,212082.0474831048,-1946106.6446840242,491937.98304604454,37488792.24656296,61212.931315898895
