epoch,lr,d_loss,g_loss,s_loss,d_loss_real,d_loss_fake,d_loss_cls,d_loss_gp,g_loss_fake,g_loss_cls,g_loss_rec,g_loss_seg_
1.0,0.0002,-3194399.2562535405,1150899445.6616821,57754.49761553854,-5125502.779271692,37642.443520873785,145029.5607811013,174843.15203178357,-5800.904401540756,129778.24398497568,115026726.38493538,50820.43426078558
2.0,0.0002,-2640850.8901416203,988375440.7563505,56896.33742903918,-259923.98558044434,-4487064.241189599,372015.400148392,173412.1935810493,4528620.810213804,243605.88750369492,98310673.21228695,49648.212803304195
3.0,0.0002,-962452.9630797748,720344367.3618096,53891.92463314161,-884753.9609760642,-2086115.2812573016,717256.036536751,129116.02426624644,2117770.440526843,428555.9732822578,71734467.54616451,45336.576583862305
4.0,0.0002,1164112.404329483,375197578.8324642,51104.87512145564,3534887.648208022,-4506417.962632477,1323338.9507799381,81230.37624391951,4513645.421335161,812948.0010158725,36945771.93821716,41326.599947690964
5.0,0.0002,2598189.8014061935,312240686.0088327,50839.721414837986,9036574.627059937,-9753781.653683305,2114072.5054326253,120132.43173445697,9747249.727831364,1033125.5011909814,30105036.377985954,40994.69174158573
6.0,0.0002,1363971.4288451222,285537723.15216136,50800.66413221508,6881024.049618244,-7560525.034628749,1257318.7276225698,78615.36965512394,7552376.212723851,581213.8578436767,27699533.840397835,40879.46601307392
7.0,0.0002,19968077.247635096,286521714.2026925,50731.4525435064,12232275.863778591,-12899617.049038768,1203698.6882954522,1943172.0040868137,12881234.7221694,510273.6772697136,27272177.52754116,40843.047037780285
8.0,0.0002,836093.1581827095,277356599.6171236,50735.89493791573,9895485.768387318,-10584380.98447156,883587.4135719722,64140.096884770275,10587849.039489448,477290.79157536593,26588334.82492733,40811.15905302763
9.0,0.0002,1743679.0130419433,276799471.04935384,50774.11181263812,10228546.310625315,-10932496.26137948,830013.0052631691,161761.60118585636,10935444.470714688,396930.13398151484,26505867.115932465,40842.527483820915
10.0,0.0002,14153596.805620797,262442997.08787942,50685.11826930754,1779513.2934367657,-2462367.0253509283,696819.7043785192,1413963.0840727577,2479953.3247429132,417349.7057587674,25913799.533616066,40769.87663465738
11.0,0.0002,19703930.877727427,257477704.32356536,50726.862951051444,666874.026025176,-1310371.7812654972,1332973.4968743764,1901445.4993144881,1359597.1761783361,873934.0299320458,25483663.674702644,40753.64292305708
12.0,0.0002,186263138.5594434,268796411.08078754,50732.91109316796,4818719.572104156,-5510459.821683764,568312.8152123376,18638655.78320785,5673812.327353299,284747.0364333207,26242995.37237549,40789.80245190859
13.0,0.0002,1493850.9036680649,256453531.9183941,50666.23556725681,-436005.7500168085,-205335.08876156807,551795.7748507152,158339.5975369577,223204.61436581612,295172.34039403894,25552800.638524055,40714.857013225555
14.0,0.0002,1789947.3674049084,254016594.81932604,50674.521499237046,2031963.29402107,-2672669.6081389785,413312.4988123207,201734.12487019753,2681086.39687109,250356.66213827615,25067826.642921448,40688.527656018734
15.0,0.0002,11178464.80714334,257726099.74691868,50635.00350918248,2331249.788825512,-2988122.7794341445,903951.9078520765,1093138.6622436196,2906249.782350719,349443.116036155,25406336.776676178,40703.91790610552
16.0,0.0002,73273512.81851897,258601358.8606696,50615.649882672355,8003006.049609542,-8592230.156676471,780107.8645704072,7308263.208732244,8430961.294677734,389446.5466120594,24937427.904830933,40667.20156764984
17.0,0.0002,1098711489.2617185,257425124.29642677,50609.227474852465,9229789.30405271,-9814793.164747477,594616.1235969182,109870186.18606499,9611441.06439066,303610.18943140766,24710358.12735176,40649.174033463
18.0,0.0002,2581963.9146490335,251860659.5166031,50599.679995946586,7915913.537479162,-8477404.094136953,813085.4684668274,233036.89544397258,8488678.100954294,419560.0563247347,24254655.297459602,40586.83770292997
19.0,0.0002,16772477.508260006,243999557.95708752,50546.98635125579,-232828.98445558548,-311432.75321674347,1499357.2198903158,1581738.227582616,295219.90591579676,507115.646581639,24279193.75569153,40528.492694973946
20.0,0.0002,1485691.606065915,248469676.25355363,50535.0883222064,5646971.186453462,-6257868.3216302395,689884.825652282,140670.39280270186,6260092.279787362,369875.18200635066,24143466.16069889,40504.7267447114
21.0,0.0002,50549914.89051837,244789141.01044083,50494.4080460039,1435106.2020159364,-2007106.79847157,683901.402547504,5043801.431604897,1984298.422237575,382326.0231686911,24201761.460062027,40490.19278997183
22.0,0.0002,299050975.02463454,242941625.40831947,50492.38590940321,1289953.0946992636,-1820563.4001249075,639430.7944367697,29894215.95500411,1717309.196289301,321255.27175412426,24049822.24925232,40483.83842074871
23.0,0.0002,8391579078.304646,237389562.2023375,50522.65493104886,-2871924.029856205,2347817.126896262,2448679.5345318816,838965441.4378579,-2964778.605739236,577009.9609157525,23937258.370827675,40474.7069298625
24.0,0.0002,63828651.616920464,241404470.42574656,50470.33649346931,619266.1973459721,-1109805.0062515736,861956.3635738738,6345723.341627177,1074906.0830965042,495539.9623081051,23942937.929800987,40464.509331822395
25.0,0.0002,613106.12637019,247410247.56620288,50491.45469778613,6802737.733306289,-7371609.103001595,726430.9445907883,45554.6558881899,7372164.326529503,359608.32825199567,23927386.12331295,40461.37465393543
26.0,0.0001,27312280.35170962,232866880.2863922,50450.50273454725,9529393.995301962,-10188549.150726497,445679.0533940558,2752575.7097337916,10205893.584662557,252172.47423520914,22200455.89249611,40425.527024269104
27.0,0.0001,903978.8385230158,228454321.4737625,50432.571124540875,4806066.678240895,-5487406.610085726,262622.4202634619,132269.6350683247,5494651.593908191,149900.91847390626,22240560.398676872,40416.49056172371
28.0,0.0001,1454601359.4292507,221294062.60727954,50468.60209434293,-676145.8188273907,38072.81345129013,475845.465769946,145476368.87225714,108629.84959387779,249582.034006547,22053173.434142113,40411.63944649696
29.0,0.0001,520956.2332810763,223024167.63993824,50444.08845499437,380203.78669742495,-1063722.6412143223,455005.89913481177,74946.91831649312,1077797.7199115604,214103.49248728185,22132817.719511986,40408.92293339968
30.0,0.0001,443030.38618518604,222087856.45861053,50467.08393307845,-302765.5369209759,-413363.7980979569,263043.03563729033,89611.66897136372,422090.2383504957,167386.1835429067,22109426.426758766,40411.58702003956
31.0,0.0001,-235146.09411297878,222769313.50915527,50443.71439810819,263842.2140861973,-994723.8626353592,279880.78173226165,21585.477128352413,1002074.1036474183,151127.60520623418,22121206.899233818,40404.27832108736
32.0,0.0001,731072.2844872865,225452363.77573395,50445.75528464513,1230714.2214665078,-1962700.6931496263,1137940.257941009,32511.849357853986,1969351.2297795713,1208635.6308461386,22187032.210013866,40405.4792727828
33.0,0.0001,2306545.3656946286,219475630.13631868,50449.50765117607,-1603177.127708707,887098.0638781153,308982.4488145597,271364.2100313996,-879201.5645336919,172766.20518518094,21977808.57246971,40397.96845257282
34.0,0.0001,-44541.76901839208,220503014.41254973,50450.7791712631,-869287.2659944538,129314.08294661716,490703.60748036666,20472.78127237192,-120558.31253633276,191489.87315743216,22002811.661637306,40396.62064063549
35.0,0.0001,-281011.45395675325,220345190.98464298,50447.67562338174,-702951.9838267751,-44136.65380369499,280061.81350324414,18601.53695507197,48549.03692206368,222870.67680617835,21966984.841609,40392.28392660618
36.0,0.0001,542357.3107386916,218555109.57575417,50462.239758752985,-1125752.8594440632,398031.4398229737,801809.3505810786,46826.93942600993,-392993.57283029705,239453.46983546234,21830476.007572174,40388.96002435684
37.0,0.0001,2112987.445770086,218176950.13459635,50440.65678854752,-1983430.6927460954,1269218.9552094098,528280.8340067072,229891.8411138371,-1271649.9140174985,350191.6239277974,21869454.6424551,40386.206586658955
38.0,0.0001,178002.5460792019,218915212.35286045,50451.17853089422,-1933853.2910145782,1199004.3022862226,478531.176405457,43432.03559131336,-1196287.6332874969,206349.88815051338,21950130.004170418,40385.00086402893
39.0,0.0001,-300614.44444676826,217735392.8916111,50454.169355771504,-1717438.908564888,976237.9225828722,266469.9575497861,17411.658233996935,-973944.6211394817,151528.73665306083,21815399.4489069,40381.42508083582
40.0,0.0001,644417.231378039,218782362.89167023,50446.66928252694,-1373612.7310990132,648242.2892978825,349717.8375606524,102006.98291423272,-645032.8417954482,189767.95036753133,21883383.232406616,40379.54784834385
41.0,0.0001,-194790.72118291882,218035249.2934127,50450.036503939424,-1974097.0127302036,1219529.022402674,365150.15973997046,19462.711340937654,-1218111.4268143699,238925.0911990791,21861064.710359573,40378.850061655045
42.0,0.0001,319401.3473092015,217299441.99521828,50421.72002398246,-2243199.06827078,1502709.3192672506,854230.7176846823,20566.03984731952,-1501347.605472505,249029.34355548237,21814799.708773613,40376.31262999773
43.0,0.0001,32517.95132583074,218470540.69083023,50392.43994994287,-2872446.5786524117,2123938.9517412633,274203.2815549199,50682.22952429796,-2124468.2113018855,179665.7636065506,22001159.67849922,40374.63403201103
44.0,0.0001,762463.8743913185,216535728.85981095,50429.46598845045,-3997430.415286869,3260404.774248898,400581.3742323108,109890.81386192137,-3248929.784250468,256233.05343060583,21912469.63687992,40372.92683416605
