epoch,lr,d_loss,g_loss,s_loss,d_loss_real,d_loss_fake,d_loss_cls,d_loss_gp,g_loss_fake,g_loss_cls,g_loss_rec,g_loss_seg_
1.0,0.0002,-1092981.6440074444,535410348.3440552,12579.28854009388,-1799512.9654243886,39872.70611756109,139241.616263962,52741.69990292939,-36756.75068786368,130389.1533401116,53518294.413806915,13377.17829221487
2.0,0.0002,-768558.0701927757,319831878.29974365,12204.723522748,-1372537.2781745344,176354.23785661347,125945.48670819041,30167.948354799555,-174817.97246057913,122055.83309809119,31975456.735477448,13007.313529193401
3.0,0.0002,-771450.2781011891,316750521.2895813,12074.87549717007,-1388468.931237042,187538.5834871456,125324.3836726738,30415.56854365753,-186097.1085169632,121747.29552619159,31668555.420387268,12931.713214933872
4.0,0.0002,-769378.196073561,314932474.73526,11996.268702648482,-1366638.7171309143,166246.60064157192,125562.61466475792,30545.130599497534,-164830.21977804974,122426.7265638113,31484641.66438675,12846.154837727547
5.0,0.0002,-777289.6747065838,315186451.0364075,11919.046845993842,-1385574.7718720883,177050.55200630613,124880.36756912532,30635.417768976833,-175604.17699445225,122287.04090549052,31511243.483142853,12733.360934257507
6.0,0.0002,-781915.2494917326,316221535.698822,11779.70868458585,-1406809.1185666472,188961.003466418,124925.93675937703,31100.69288720126,-187357.06255223602,122816.391900599,31616012.704856873,12594.934401512146
7.0,0.0002,-777052.0306075867,314339727.0501709,11679.652645271162,-1405708.362534687,192113.5469188122,125092.71988963135,31145.006511488158,-190515.615195062,122948.4937675558,31428229.088832855,12500.339703857899
8.0,0.0002,-784307.31256893,313476622.4246216,11594.499964218658,-1412659.762639068,193331.17263899744,123878.94552553931,31114.233202314703,-191702.53203319013,122628.74215652421,31342176.60836792,12393.009221374989
9.0,0.0002,-785993.1718023103,312361362.94381714,11515.947971476311,-1398669.5263129622,178967.92194871977,123210.64096228108,31049.77918007311,-177265.97937562317,123251.6879158318,31229223.569107056,12314.156571030617
10.0,0.0002,-783977.6826350349,312229820.06863403,11465.107625006023,-1384721.4880072698,166712.6293940153,123464.72688149248,31056.644915367724,-164908.5151683949,123840.54428873956,31214860.1920166,12228.616789519787
11.0,0.0002,-774071.9793387409,312412746.16204834,11396.661359065562,-1378911.7840627283,158715.56822827272,126931.09872334506,31919.313753040256,-156836.90260461625,124163.72629798204,31232395.590442657,12146.350342988968
12.0,0.0002,-791256.9682760509,312115441.7227478,11326.82635413364,-1422563.2111731768,195446.1486392226,123301.94146341424,31255.81526479493,-193598.69173283782,122784.34191763401,31206571.502513885,12054.096873521805
13.0,0.0002,-796465.6214559453,313488022.6619873,11280.548839725228,-1427213.2187509984,192170.02751498856,122977.90709666935,31559.966337349062,-190285.98267227504,123268.79664206505,31343541.042022705,11962.931324124336
14.0,0.0002,-790463.0014333241,312507050.3590393,11174.547000494167,-1430169.251634881,202585.49937062897,122856.28873614976,31426.4462211642,-200766.19569705613,122804.07455258071,31246637.529281616,11863.729044437408
